Start Time,End Time,Speaker,Transcript
0.00,2.00,SPEAKER_00," Okay, how are you?"
2.00,5.00,SPEAKER_02," I'm pretty good, I have strange deal."
5.00,6.00,SPEAKER_02, What's that all about?
6.00,27.40,SPEAKER_00," Well, you know, I came across on a computer mailing list on my email from, it's a research thing for cycle linguistics and you pen, they're building a linguistic database of many languages and so they were offering free phone calls anywhere in the world."
27.40,30.40,SPEAKER_00, We have to only speak one language though.
30.40,40.60,SPEAKER_00, So they're collecting lots of different languages but you have to only speak the two parties have to speak the same language so I could only call in native English speaker.
40.60,41.60,SPEAKER_00, That was the question.
41.60,42.60,SPEAKER_00, I can't throw it.
42.60,44.60,SPEAKER_00, You shouldn't be throwing in lots of German.
44.60,45.60,SPEAKER_02, I should be.
45.60,46.60,SPEAKER_02, I should not be.
46.60,52.00,SPEAKER_00, I know that will be hard but I decided to go for it.
52.00,56.40,SPEAKER_00, And then doing formal and French and German and all different.
56.40,59.40,SPEAKER_02," I mean, they're really going to record this and really going to use it for something"
59.40,61.40,SPEAKER_00," or? Yeah, I guess so."
61.40,81.64,SPEAKER_00," My guess is that it's either for doing some sort of speech recognition systems for computers or for building up, there's a field computational linguistics where they look at the properties of languages, what the probabilities of are various kinds of words occurring together and such."
81.64,82.64,SPEAKER_00, And all of that.
82.64,83.64,SPEAKER_02, It turns them on.
83.64,84.64,SPEAKER_00," Yeah, yeah."
84.64,86.84,SPEAKER_00, I know what it's for and they need a lot of it.
86.84,89.36,SPEAKER_02," Anyway, thank you very much for your note."
89.36,94.36,SPEAKER_02," After card and your photo, a couple weeks ago and I've lied."
94.36,95.36,SPEAKER_00, What?
95.36,96.36,SPEAKER_00, She's coming along.
96.36,98.16,SPEAKER_02," Yeah, she's a big girl."
98.16,100.24,SPEAKER_00," Yeah, and how are your grandkids?"
100.24,101.88,SPEAKER_02," Well, pretty good."
101.88,103.28,SPEAKER_00, Are they both for now?
103.28,104.52,SPEAKER_00, Did you have the second one?
104.52,107.48,SPEAKER_02," Yeah, yeah, she had the second one in March."
107.48,109.32,SPEAKER_02, And so he's about three months old.
109.32,110.32,SPEAKER_00, Wow.
110.32,111.32,SPEAKER_02, And his name is Sebastian.
111.32,112.32,SPEAKER_00, That's nice.
112.32,113.32,SPEAKER_02, He's a nice boy.
113.32,114.32,SPEAKER_02, He's a good fellow.
114.32,115.32,SPEAKER_02, He's coming along.
115.32,121.08,SPEAKER_02," And of course, Patrick is talking and walking and he's saying he's two."
121.08,122.08,SPEAKER_02, Wow.
122.08,125.68,SPEAKER_02," He was a middle of June, which is second birthday."
125.68,130.28,SPEAKER_02, So he's a big boy and he's doing all kinds of things that people do when they're two.
130.28,131.28,SPEAKER_00, Yeah.
131.28,133.32,SPEAKER_00, Like being disagreeable and asserting and debate.
133.32,134.32,SPEAKER_00, He's not.
134.32,138.44,SPEAKER_02," He's pretty, pretty, pretty, pretty, pretty, but most of the time, yeah."
138.44,146.84,SPEAKER_02," But you know, saying things and being kind of funny and walking around and just being nice, nice little boy."
146.84,147.84,SPEAKER_02, That's me.
147.84,148.84,SPEAKER_02, I'm happy.
148.84,149.84,SPEAKER_02, I'm happy.
149.84,150.84,SPEAKER_02, What?
150.84,151.84,SPEAKER_00, And she's happy.
151.84,153.24,SPEAKER_02," Oh, she's fine."
153.24,154.24,SPEAKER_02, Yeah.
154.24,158.68,SPEAKER_02," You know, the apartment's a little bit small and stuff and they could, you know, we could use this and use that."
158.68,161.44,SPEAKER_02," But all in all, sure."
161.44,162.44,SPEAKER_02, She's fine.
162.44,163.44,SPEAKER_00, Yeah.
163.44,164.44,SPEAKER_00, Yeah.
164.44,165.44,SPEAKER_00, How are you doing?
165.44,166.44,SPEAKER_00, We're fine.
166.44,167.44,SPEAKER_00, Yeah.
167.44,172.44,SPEAKER_00, I'm not getting to get more fussy because she can walk now and.
172.44,174.44,SPEAKER_02," Well, she's what I will know 10 months."
174.44,177.44,SPEAKER_02," But she's, that's very early for walking."
177.44,178.44,SPEAKER_02, Yeah.
178.44,183.44,SPEAKER_00," Sam's cousin, our niece, not Sam's sister's, best is cousin."
183.44,187.44,SPEAKER_00, Sam's sister's kid also walked at nine months.
187.44,190.44,SPEAKER_00, So she's been walking for about five weeks now.
190.44,191.44,SPEAKER_00," Oh, that's a good question."
191.44,197.44,SPEAKER_00," And she can climb stairs, she climbs on chairs and, you know, we have to put her know a lot more now."
197.44,198.44,SPEAKER_00, Yeah.
198.44,199.44,SPEAKER_00, And she remembers things.
199.44,202.44,SPEAKER_00, So we can't distract her as easily anymore.
202.44,210.44,SPEAKER_00," So she's had a few little proto temper tantrums, you know, things like if she was, she's unrolling all the toilet paper."
210.44,212.44,SPEAKER_00, She just thought this was wonderful.
212.44,215.44,SPEAKER_00," And it was funny, but I didn't let it away."
215.44,224.44,SPEAKER_00, And she just put her hands on her hips and started crying and she had this pout and that we've had a few of those this week that started.
224.44,227.44,SPEAKER_00," So, but then she remembers, she doesn't go back."
227.44,228.44,SPEAKER_02, Life is tough.
228.44,229.44,SPEAKER_02, Life is fun.
229.44,232.44,SPEAKER_00," I know, we're getting her, we're breaking her spirit early."
232.44,235.44,SPEAKER_00," We're a girl, my goodness."
235.44,239.44,SPEAKER_00, She understands the number of words now.
239.44,241.44,SPEAKER_00," You know, it surprises me."
241.44,246.44,SPEAKER_00," Like the other day I said, do you want to go upstairs and change it and get a clean diaper or something like that."
246.44,249.44,SPEAKER_00, And she stopped what she was doing and went over to the stairs.
249.44,253.44,SPEAKER_00, And I don't know what piece of that she understood diaper or stairs or what.
253.44,263.44,SPEAKER_00," But some things are getting through and she has said her first word, which was Kitty, Kitty Cat, which is our cat."
263.44,266.44,SPEAKER_00, I don't know that you know that it's a general word.
266.44,268.44,SPEAKER_00, It's sort of a proper noun.
268.44,280.44,SPEAKER_00, And she's all of a sudden after months of saying pet the Kitty gently and showing her how she's petting her gently instead of just grabbing her and trying to put her in her mouth.
280.44,284.44,SPEAKER_02," So, how did she get to be a year?"
284.44,285.44,SPEAKER_00, August 24th.
285.44,288.44,SPEAKER_00," So, yeah, end of August."
288.44,293.44,SPEAKER_00, She's spirited and determined.
293.44,297.44,SPEAKER_00," Yeah, she's very headstrong."
297.44,304.44,SPEAKER_00," Her daycare people say whenever there's a conflict between the two kids, two kids a daycare, that's always wins."
304.44,310.94,SPEAKER_00," Even though she's much smaller than these other kids, she's just very focused and very determined."
310.94,311.94,SPEAKER_00, She doesn't cry.
311.94,313.94,SPEAKER_00, She doesn't look at another kid.
313.94,319.00,SPEAKER_00," She just goes for the toy that they're holding, you know, and she'll put that until she gets it."
319.00,322.94,SPEAKER_00, And then the not-nice part of this that I'm sure will get better of age.
322.94,329.94,SPEAKER_00, I hope she'll play with the toy as long as the other kids interested and when they're no longer interested she throws it away.
329.94,333.94,SPEAKER_00," So, there's a little malicious side in here."
333.94,334.94,SPEAKER_00, I will.
334.94,335.94,SPEAKER_00, I don't know.
335.94,336.94,SPEAKER_00, Yeah.
336.94,337.94,SPEAKER_00, And I'll work.
337.94,340.94,SPEAKER_02, We'll get to analytical about it.
340.94,348.94,SPEAKER_02, I've seen these teen kids with terrible things when they were really young and they grow up to be very different from the people.
348.94,357.14,SPEAKER_00," Well, I also feel that it's probably better this way because you can train hard to not be nasty."
357.14,361.94,SPEAKER_00, More easily you can train a shy kid to stand up for herself.
361.94,362.94,SPEAKER_00, Right.
362.94,363.94,SPEAKER_00, I think she'll be okay.
363.94,365.94,SPEAKER_02, How was your teaching going?
365.94,366.94,SPEAKER_00, It's hectic.
366.94,367.94,SPEAKER_00," Well, I'm not doing it right now."
367.94,368.94,SPEAKER_00, I'm off for summer.
368.94,371.94,SPEAKER_00," Oh, yeah, but I mean doing the year."
371.94,374.94,SPEAKER_00, I found it much more difficult with this.
374.94,375.94,SPEAKER_00, Of course.
375.94,381.94,SPEAKER_00, I treat it much more as a job instead of my life now.
381.94,384.78,SPEAKER_00, It's just no longer the central thing.
384.78,394.20,SPEAKER_00, But my course was a course in normal language acquisition being taught to students of communicative who were majoring in communicative disorders.
394.20,398.20,SPEAKER_00, So there's students who are going to go on in practice.
398.20,400.20,SPEAKER_00, And so they're not very theoretically oriented.
400.20,402.20,SPEAKER_00, They're applied oriented.
402.20,407.20,SPEAKER_00, And they're not as good as my students at San Diego.
407.20,408.20,SPEAKER_00, But they can learn.
408.20,411.20,SPEAKER_00, It was a writing intensive course.
411.20,417.20,SPEAKER_00," All of these kids, they were undergrads, but they have to go to graduate practice."
417.20,420.20,SPEAKER_00, You can't practice without a master's.
420.20,422.20,SPEAKER_00, So they knew they had to go to graduate school.
422.20,424.20,SPEAKER_00, So they really did work very hard.
424.20,426.20,SPEAKER_00, They knew they had to get a B and at midterms.
426.20,430.20,SPEAKER_00, Almost all of them had C's and D's.
430.20,431.20,SPEAKER_00, And so they pulled it up.
431.20,433.20,SPEAKER_00," They worked very, very hard."
433.20,435.20,SPEAKER_00, And that was rewarding.
435.20,439.20,SPEAKER_00, I'll have to teach two courses instead of one in the fall.
439.20,442.20,SPEAKER_00," Well, I'm not looking forward to that."
442.20,443.20,SPEAKER_00, But it's okay.
443.20,446.20,SPEAKER_00, My research has slowed down tremendously.
446.20,448.20,SPEAKER_00, And that's bothering you a little more.
448.20,450.20,SPEAKER_00, I'm trying to write over the summer.
450.20,452.20,SPEAKER_00, But I've got about five papers to write.
452.20,456.20,SPEAKER_00, And I'll probably get two and a half done.
456.20,459.20,SPEAKER_00, And I would love to get a grant out.
459.20,461.20,SPEAKER_00, But I don't know when that will be.
461.20,463.20,SPEAKER_00, It's not going to be the summer.
463.20,464.20,SPEAKER_02, How is Sam doing?
464.20,466.20,SPEAKER_02, How is that college?
466.20,469.20,SPEAKER_00, He's doing OK.
469.20,474.20,SPEAKER_00, The college is having problems keeping its enrollments up.
474.20,481.20,SPEAKER_00, And so we've been a little worried that at one point it looked like they might lay off some untenured people.
481.20,483.20,SPEAKER_00, And in the end they didn't do that.
483.20,486.20,SPEAKER_00, And they're doing stupid things.
486.20,491.20,SPEAKER_00," They want to start a football team, which is a considerable financial investment."
491.20,495.20,SPEAKER_00," At the same time, they were talking about laying off faculty."
495.20,502.20,SPEAKER_00, And they think that by having a football team they'll generate more interest amongst undergraduates and more enrollments.
502.20,508.20,SPEAKER_00, And I think that at a school with a population of 700 that's not the best way to spend your money.
508.20,511.20,SPEAKER_00," Yeah, I did never going to be good football team."
511.20,512.20,SPEAKER_02," Oh, man."
512.20,513.20,SPEAKER_00," Yeah, it's not."
513.20,514.20,SPEAKER_00, Poor that.
514.20,516.20,SPEAKER_02, That is amazing.
516.20,518.20,SPEAKER_00, It's kind of anti-intellectual.
518.20,520.20,SPEAKER_02," Oh, it's just so American."
520.20,521.20,SPEAKER_02, It hurts.
521.20,522.20,SPEAKER_00, Yeah.
522.20,523.20,SPEAKER_00, It's not.
523.20,526.20,SPEAKER_00, This is a real anti-intellectual environment here.
526.20,527.20,SPEAKER_00, That's weird.
527.20,529.20,SPEAKER_00, Even amongst academics.
529.20,534.20,SPEAKER_00, But it's so different from anywhere I've been before.
534.20,542.20,SPEAKER_00," I didn't know if the rules of this call let me put on another caller, but I figured at the 15-minute point I'd put Sam on."
542.20,544.20,SPEAKER_00, And he can tell you more about that.
544.20,545.20,SPEAKER_02, Yeah.
545.20,546.20,SPEAKER_00, Yeah.
546.20,547.20,SPEAKER_00, How are you guys?
547.20,548.20,SPEAKER_00, How's Chris?
548.20,549.20,SPEAKER_02," Well, pretty well."
549.20,550.20,SPEAKER_02, Chris is not here at the moment.
550.20,557.20,SPEAKER_02," She's been away with her class up around Blinded Borg for about two weeks on a, they call, FED, Messon."
557.20,559.20,SPEAKER_02," FED, Messon is surveying."
559.20,561.20,SPEAKER_02, And so she's been away for two weeks.
561.20,562.20,SPEAKER_02, She's come back tonight.
562.20,563.20,SPEAKER_00, Ah.
563.20,564.20,SPEAKER_02, So we're looking forward to that.
564.20,565.20,SPEAKER_00," Oh, yeah."
565.20,566.20,SPEAKER_00," Oh, gosh."
566.20,567.20,SPEAKER_00, I bet you're getting lonely.
567.20,568.20,SPEAKER_02, Yeah.
568.20,569.20,SPEAKER_02," Well, Claudia's been here."
569.20,570.20,SPEAKER_02, And we've been doing OK.
570.20,576.20,SPEAKER_02, And I'm actually waiting for Claudia to show up because we're supposed to go into town and meet some people in town.
576.20,580.20,SPEAKER_02, I've got a student here who's looking to check in our rooms and stuff.
580.20,582.20,SPEAKER_02," She's coming in the fall, but she was in a place called Talwah."
582.20,583.20,SPEAKER_02, So Tuff says this.
583.20,584.20,SPEAKER_02, Yeah.
584.20,585.20,SPEAKER_00, She spent her at Talwah.
585.20,586.20,SPEAKER_02, She was there.
586.20,592.20,SPEAKER_02," She did a course in Talwah, and then she came over here and checked out her room here."
592.20,594.20,SPEAKER_02, So it's any end semester is still going.
594.20,597.20,SPEAKER_02, Of course it ends on the 22nd of July.
597.20,600.20,SPEAKER_02, So it's a thing to visit.
600.20,601.20,SPEAKER_00, Yeah.
601.20,602.20,SPEAKER_00, Got another month.
602.20,605.20,SPEAKER_00, And then are you coming over to the States at all this summer?
605.20,606.20,SPEAKER_00, No.
606.20,607.20,SPEAKER_00, No.
607.20,608.20,SPEAKER_00, No.
608.20,609.20,SPEAKER_02, Oh.
609.20,610.20,SPEAKER_02, No.
610.20,611.20,SPEAKER_00, No.
611.20,613.20,SPEAKER_00, I don't know if she's left here anymore.
613.20,615.20,SPEAKER_02," Well, the relative scene is kind of sad."
615.20,617.20,SPEAKER_02," You know, everybody's kind of passed away."
617.20,618.20,SPEAKER_00, Yeah.
618.20,620.20,SPEAKER_00, I remember when I talked to you in the fall.
620.20,621.20,SPEAKER_02, Yeah.
621.20,623.20,SPEAKER_00, Did you sister die?
623.20,624.20,SPEAKER_02, My sister passed away.
624.20,625.20,SPEAKER_02, Yeah.
625.20,628.20,SPEAKER_02, I don't know if she's booked me before that or was that what's happening or?
628.20,629.20,SPEAKER_00, When was it?
629.20,630.20,SPEAKER_00, Yeah.
630.20,633.20,SPEAKER_00, I made them right after my father died right after we talked.
633.20,634.20,SPEAKER_00," Oh, God."
634.20,635.20,SPEAKER_00, Yeah.
