Start Time,End Time,Speaker,Transcript
0.00,1.36,SPEAKER_04," You're not gonna hang up on me, are you?"
1.36,2.02,SPEAKER_02, No.
2.02,3.52,SPEAKER_04," Okay, alright, I'm gonna hit the one now."
3.52,4.52,SPEAKER_04, Haha.
4.52,5.52,, Haha.
5.52,9.12,SPEAKER_04," Okay, I think we're, we're gonna be recorded in publically distributed"
9.12,12.00,SPEAKER_02, educational services and maybe distributed.
12.00,15.12,SPEAKER_04," Alright, alright, alright. You're wasting precious minutes here."
15.12,17.28,SPEAKER_02," Waste and precious minutes, so how long did we get?"
17.28,18.28,SPEAKER_02, Half hour.
18.28,19.12,SPEAKER_02, Get a half an hour.
19.12,21.60,SPEAKER_02," Oh my god, I'll be looking for a stay awake that long."
21.60,22.60,SPEAKER_04, You tired?
22.60,23.40,SPEAKER_02, What?
23.40,24.40,SPEAKER_02, Yeah.
24.40,25.80,SPEAKER_04, So what have you guys been doing?
25.80,26.64,SPEAKER_02, What have we been doing?
26.64,28.40,SPEAKER_02, We've been hanging out with Steven.
28.40,29.00,SPEAKER_04, Yeah.
29.00,31.00,SPEAKER_04, Mom and Dad have fun with him?
31.00,33.00,SPEAKER_02," Yeah, they left today."
33.00,34.00,SPEAKER_02," Yeah, go back."
34.00,37.00,SPEAKER_04, So what's a little guy up to?
37.00,41.40,SPEAKER_02," Let's see, he's like sleeping and..."
41.40,43.40,SPEAKER_04," He's working the computer now, isn't he?"
43.40,44.40,SPEAKER_02, Not quite.
44.40,45.40,SPEAKER_02, He smiles now.
45.40,47.40,SPEAKER_04," Wow, that's close enough."
47.40,51.00,SPEAKER_02," No, yeah, I mean not constantly, but he does."
51.00,53.60,SPEAKER_04," I'd be worried if he did, cause what else does he do?"
53.60,57.00,SPEAKER_02," He stares at the clock, makes noises."
57.00,58.80,SPEAKER_04, Does he play with anything?
59.80,60.80,SPEAKER_02, Not really.
60.80,62.80,SPEAKER_04, Can he move his hands?
62.80,63.80,SPEAKER_02," Oh, yeah, he'll do."
63.80,64.80,SPEAKER_04, Does he know what he's doing?
64.80,66.80,SPEAKER_04, Does he just flail him?
66.80,67.80,SPEAKER_02, No.
67.80,69.80,SPEAKER_02," He stretches, that's pretty cool."
69.80,73.80,SPEAKER_02, He sticks his arms up over his head and he stretches his legs out.
73.80,75.80,SPEAKER_02, It's fully extends.
75.80,78.80,SPEAKER_02," That's pretty neat, but he does that."
78.80,79.80,SPEAKER_04, I can hear him in the background.
79.80,80.80,SPEAKER_04," Yeah, yeah."
80.80,82.80,SPEAKER_04, What time does he go to bed?
82.80,84.80,SPEAKER_02, Whatever he feels like it.
84.80,87.80,SPEAKER_02, What time does he go to bed?
87.80,91.80,SPEAKER_02, He sleeps intermittently and then...
91.80,96.80,SPEAKER_02," Then if we're lucky, he goes to sleep around 10 or 11."
96.80,97.80,SPEAKER_02," Oh, that's cool."
97.80,100.80,SPEAKER_02, And then wakes up to eat during the night.
100.80,102.80,SPEAKER_04, Does he gain any weight?
102.80,104.80,SPEAKER_02," Oh, yeah."
104.80,106.80,SPEAKER_02, How much do you think he weighs now?
106.80,108.80,SPEAKER_02, Probably about 10 pounds.
108.80,109.80,SPEAKER_04, He's growing fast.
109.80,111.80,SPEAKER_02," Yeah, he's probably about 10."
111.80,113.80,SPEAKER_02, He's four weeks old today.
113.80,114.80,SPEAKER_04, Yeah.
114.80,118.80,SPEAKER_02, So he doesn't actually will find out exactly what he weighs on Monday.
118.80,119.80,SPEAKER_02," Yeah, he's got the appointment."
119.80,120.80,SPEAKER_02, Another appointment then.
120.80,123.80,SPEAKER_02, Which is pretty cool.
123.80,125.80,SPEAKER_02, I can't go to that one unfortunately.
125.80,126.80,SPEAKER_02, He got to work.
126.80,127.80,SPEAKER_04, Yeah.
127.80,128.80,SPEAKER_02, He'll do work in Saturday's now.
128.80,129.80,SPEAKER_04, Yeah.
129.80,130.80,SPEAKER_04, Ooh.
130.80,131.80,SPEAKER_04, That's not fun.
131.80,132.80,SPEAKER_04, Yep.
132.80,133.80,SPEAKER_04, What time did he be in?
133.80,134.80,SPEAKER_04, Seven.
134.80,135.80,SPEAKER_02, Ooh.
135.80,136.80,SPEAKER_04, Fun tired.
136.80,137.80,SPEAKER_02, What?
137.80,138.80,SPEAKER_02, That's one of the reasons I'm tired.
138.80,139.80,SPEAKER_04, Yeah.
139.80,140.80,SPEAKER_04, What time did you get up to?
140.80,141.80,SPEAKER_04, To go.
141.80,142.80,SPEAKER_02, Six.
142.80,146.80,SPEAKER_02," Well, I guess I may get up a little bit earlier with him."
146.80,148.80,SPEAKER_02, I guess I'll get up and change him and everything.
148.80,149.80,SPEAKER_02, Yeah.
149.80,150.80,SPEAKER_02, So around five thirty.
150.80,151.80,SPEAKER_04, Ooh.
151.80,152.80,SPEAKER_02, Yeah.
152.80,154.80,SPEAKER_04, How long can you do it to work?
154.80,155.80,SPEAKER_02, That's not long.
155.80,157.80,SPEAKER_02, It's only like 15 or 20 minutes.
157.80,158.80,SPEAKER_02, Yeah.
158.80,161.80,SPEAKER_02, So that's for me to drive to work.
161.80,164.80,SPEAKER_02, That's not that bad.
164.80,166.80,SPEAKER_02, But what else?
166.80,170.80,SPEAKER_02, Didn't even exciting with me.
170.80,175.80,SPEAKER_02, You kind of caught me in a half days state.
175.80,178.80,SPEAKER_04, What do you give the phone over to Dino when you're done?
178.80,180.80,SPEAKER_02," No, but my eyes are getting pretty heavy."
180.80,184.80,SPEAKER_04, I want my half hours worth out of this call.
184.80,185.80,SPEAKER_04, Okay.
185.80,186.80,SPEAKER_02, I'll try my phone.
186.80,187.80,SPEAKER_04, I'll give our expenses on.
187.80,189.80,SPEAKER_02, Oh my God.
189.80,190.80,SPEAKER_02, It's our best right now.
190.80,192.80,SPEAKER_02," Well, how come you're not out drinking?"
192.80,193.80,SPEAKER_04, Yeah.
193.80,199.80,SPEAKER_04," I was basically at paid last week or whatever, whatever, what I thought."
199.80,200.80,SPEAKER_01, Yeah.
200.80,203.80,SPEAKER_04," And something happened where they're like, because they stopped paying me for a while."
203.80,205.80,SPEAKER_04, So I have to wait two weeks.
205.80,208.80,SPEAKER_04, So I want to take some money out of my Mac on like Wednesday.
208.80,209.80,SPEAKER_04, And it's an insufficient fund.
209.80,210.80,SPEAKER_04," And I'm like, what the hell is that?"
210.80,212.80,SPEAKER_04, I should have like $650 in there.
212.80,217.80,SPEAKER_04," So I call up and they're like, well, you won't be paid until not this Monday, but next Monday, like we'll be in your cap."
217.80,225.80,SPEAKER_04," So then I call my parents to that yesterday and they could send me some money like $200, $100 to keep the Mac open and $100 for groceries and other stuff the next week and a half."
225.80,226.80,SPEAKER_01, Yeah.
226.80,235.80,SPEAKER_04," And then I'd give them a check in like two weeks for the 200, but it ended up that it didn't go through or something because I tried to use the Mac tonight."
235.80,237.80,SPEAKER_02, It's basically your broke.
