Start Time,End Time,Speaker,Transcript
0.00,1.00,, Paul?
1.00,2.00,SPEAKER_00, Hello?
2.00,3.00,SPEAKER_00, Yeah.
3.00,5.00,SPEAKER_00, We're... okay.
5.00,8.00,SPEAKER_00, It's not a really good connection.
8.00,11.00,SPEAKER_00, It's a sad light or something because there's a delay.
11.00,12.00,SPEAKER_00, Is there?
12.00,15.00,SPEAKER_01, It sounds like a k here for me.
15.00,17.00,SPEAKER_00," Oh, I hear a delay."
17.00,20.00,SPEAKER_00," Well, maybe that's the recording."
20.00,22.00,," Yeah, I don't know."
22.00,27.00,SPEAKER_01," Well, it could be a delay if it is bouncing off the satellite that I do it."
28.00,31.00,SPEAKER_00," Anyway, you guys are coming to Europe."
31.00,32.00,SPEAKER_01, Yeah.
32.00,35.00,SPEAKER_01, One second here.
35.00,39.00,SPEAKER_01, I'd essentially the date I don't remember right off the end.
39.00,42.00,SPEAKER_00," The 19th there, is that?"
42.00,45.00,SPEAKER_01," Yeah, it sounds about right."
45.00,48.00,SPEAKER_01, We're actually leaving next Monday.
48.00,53.00,SPEAKER_01, And we should be arriving in London.
53.00,58.00,SPEAKER_01, Joy.
58.00,62.00,SPEAKER_01, Great.
62.00,76.00,SPEAKER_01, I made the file that had all the information in it and now my computer doesn't want to open it.
76.00,79.00,SPEAKER_01, Oh.
79.00,81.00,SPEAKER_01, Modern... what is it?
81.00,85.00,SPEAKER_01, Wonders of modern technology or something like that.
85.00,87.00,SPEAKER_00, So you start school 1.
87.00,89.00,SPEAKER_00, When do you start with your...
89.00,92.00,SPEAKER_00, You're doing a PhD or a Masters first?
92.00,95.00,SPEAKER_01," Well, I'll be doing a..."
95.00,102.00,SPEAKER_01, I'm going to go for the Masters first and then hopefully transfer to a different school to get my PhD.
102.00,105.00,SPEAKER_01, I'm going to always use for the Masters.
105.00,113.00,SPEAKER_01, So I'd like to go to Cornell or Michigan or Wisconsin or E-Dub for my PhD.
113.00,116.00,SPEAKER_00, Someplace with a reputation?
116.00,117.00,SPEAKER_01, Yeah.
117.00,119.00,, Exactly.
119.00,122.00,SPEAKER_01, So is the file opening or not?
122.00,124.00,SPEAKER_01," No, it's not."
124.00,130.00,SPEAKER_01," Actually, let me do something else."
130.00,136.00,SPEAKER_01, I can just look at all the email I sent you and that one's probably whatever I said was correct.
136.00,141.00,SPEAKER_01, If I said the 19th and that's probably what we're shooting for.
141.00,144.00,SPEAKER_00, What are you doing with that?
144.00,146.00,SPEAKER_00, How's this trip going to work?
146.00,153.00,SPEAKER_01," We're going to fly into London and then we'll be there for about two or three days, and then go after Ireland."
153.00,161.00,SPEAKER_01, And then we'll come back to London and then catch a ferry over to Oestanday.
161.00,163.00,SPEAKER_01," And then from there, just collect the Holland."
163.00,166.00,SPEAKER_01, So we're not going to stand Belgium at all.
166.00,169.00,SPEAKER_01, We're just going to straight up the Holland.
169.00,170.00,SPEAKER_01, So...
170.00,171.00,SPEAKER_00, Okay.
171.00,172.00,, Yeah.
172.00,174.00,SPEAKER_01," I'm sorry, God."
174.00,175.00,SPEAKER_00," No, it's okay."
175.00,178.00,SPEAKER_00," If I say anything, I can't hear you anymore."
178.00,181.00,SPEAKER_00, So it's a strange kind of phone call.
181.00,186.00,SPEAKER_00," It's like talking on a radio where you have to say over because, you know, anyway."
186.00,189.00,SPEAKER_01, I can hear everything you say even when I'm talking.
189.00,191.00,SPEAKER_01, I think.
191.00,198.00,SPEAKER_00," Yeah, maybe it doesn't interface well with the Dutch system that I don't know."
198.00,199.00,SPEAKER_01, Over.
199.00,202.00,SPEAKER_01," Yeah, over."
202.00,208.00,SPEAKER_01, So it looks like we'll be coming in on about the 19th.
208.00,209.00,SPEAKER_01, Okay.
209.00,212.00,SPEAKER_01, We're about to are you.
212.00,213.00,SPEAKER_01, You said you're not.
213.00,214.00,SPEAKER_01, You said you're not.
214.00,216.00,SPEAKER_01," Oh, we're away from Amsterdam."
216.00,217.00,SPEAKER_00, Yeah.
217.00,222.00,SPEAKER_00, The problem is we don't have a place to put you up.
222.00,224.00,SPEAKER_00," Oh, that's going to be dope."
224.00,225.00,SPEAKER_00, Yeah.
225.00,227.00,SPEAKER_00," But right, it's kind of..."
227.00,228.00,SPEAKER_00, We're kind of in transition.
228.00,231.00,SPEAKER_00, I'm living right now with Anya's parents.
231.00,238.00,SPEAKER_00, But we have a flat that we just got and we take possession of on this actually officially.
238.00,240.00,SPEAKER_00, We're renting it on the 16th.
240.00,243.00,SPEAKER_00, But Anya and our parents have been fixing it up.
243.00,247.00,SPEAKER_00," And that's just outside of you, Trif."
247.00,248.00,SPEAKER_01, Okay.
248.00,252.00,SPEAKER_00," Do you know, like, if you looked at a map, you know, or the place?"
252.00,257.00,SPEAKER_01," Yeah, I think that's kind of like southeast of Amsterdam, correct?"
257.00,258.00,SPEAKER_00, Yeah.
258.00,263.00,SPEAKER_00," Yeah, if you draw it, if you look at like Rotterdam is directly south of Amsterdam."
263.00,264.00,SPEAKER_00, Mm-hmm.
264.00,265.00,SPEAKER_00, And then...
265.00,271.00,SPEAKER_00, And Rotterdam's on the coast with the of the North Sea.
271.00,275.00,SPEAKER_00, Amsterdam is you go inland a little bit and north.
275.00,276.00,SPEAKER_00, And it's on the...
276.00,281.00,SPEAKER_00," It's on the coast of what they call the ISIL merits, an inland sea."
281.00,284.00,SPEAKER_00, And then Utrecht is a triangle.
284.00,287.00,SPEAKER_00, And it's sort of an isosceles triangle.
288.00,290.00,SPEAKER_00, So it's about even...
290.00,292.00,SPEAKER_01, It's about as Rotterdam.
294.00,297.00,SPEAKER_00," Yeah, it's like equal distance about an hour from Rotterdam."
297.00,299.00,SPEAKER_00, It's about an hour from Amsterdam.
299.00,301.00,SPEAKER_00, I see a little closer to Amsterdam.
301.00,304.00,SPEAKER_00," It's about 45 minutes to Amsterdam, or two Amsterdam."
304.00,307.00,SPEAKER_00," But yeah, what are your plans?"
307.00,310.00,SPEAKER_00, Are you going to be going into Amsterdam and staying somewhere?
310.00,311.00,SPEAKER_00, Or what are you going to do?
311.00,316.00,SPEAKER_01," Yeah, we'll probably just go in Amsterdam and stay unless you know the better place to stay."
316.00,319.00,SPEAKER_01, or something that you would think would be better.
319.00,325.00,SPEAKER_00," No, I mean, if you're looking for a place to stay, Amsterdam's probably the best place to go."
325.00,328.00,SPEAKER_00, And you can do the best.
328.00,329.00,SPEAKER_00, Sorry.
329.00,330.00,SPEAKER_00, Go ahead.
330.00,336.00,SPEAKER_01, We'll probably be there about two days and then we'll head off to Paris.
336.00,338.00,SPEAKER_00," Oh, okay."
338.00,341.00,SPEAKER_00, So we plan to be in there for a little while to see you.
341.00,346.00,SPEAKER_00," Yeah, what is... I don't even know what day the 19th is and I don't have a calendar with me."
346.00,349.00,SPEAKER_00, Um...
349.00,353.00,SPEAKER_00, Let's see.
353.00,355.00,SPEAKER_01," Hold on, just back."
355.00,357.00,SPEAKER_01, Cam?
357.00,365.00,SPEAKER_01, Can you come out for a second place?
365.00,367.00,SPEAKER_01, It's a Wednesday.
367.00,368.00,SPEAKER_01," It's a Wednesday, okay."
368.00,373.00,SPEAKER_01, Do you have a map of Europe and that sheet that I planted up with our trip plan?
373.00,378.00,SPEAKER_01," Luckily, I've turned it out."
378.00,380.00,SPEAKER_01, I got this new version of Excel.
380.00,386.00,SPEAKER_01," Excel 5 and on the Mac, the creation kind of conflicts with something else I think."
386.00,392.00,SPEAKER_01, And so the computer thinks it's launching some other program and it punches all kinds of things that happen.
392.00,397.00,SPEAKER_01, Thanks.
397.00,398.00,SPEAKER_01, Okay.
398.00,401.00,SPEAKER_01," Okay, I see."
401.00,409.00,SPEAKER_01," I was going off by memory and yeah, this looks pretty much like what I thought it was."
409.00,414.00,SPEAKER_01, We are planning on coming in.
414.00,415.00,, Let's see.
415.00,419.00,SPEAKER_01," We're leaving Ireland Dublin on Monday, which is the 17th."
419.00,423.00,SPEAKER_01, And we're going to try to catch an all-night type thing where you hop in a bus and then arrive in London.
423.00,426.00,SPEAKER_01, The very next morning.
426.00,427.00,SPEAKER_00, Right.
427.00,432.00,SPEAKER_01, And then we'll just try and catch.
432.00,435.00,SPEAKER_01, So we arrived Tuesday in London.
435.00,448.00,SPEAKER_01," Tuesday morning, we'll try and catch a train to the coast and then catch a ferry over to Austin Day and then come up into Amsterdam or Rotterdam."
448.00,451.00,SPEAKER_01, But either way.
451.00,456.00,SPEAKER_01, It was yeah.
456.00,458.00,SPEAKER_01," Rotterdam is Belgium, isn't it?"
458.00,459.00,SPEAKER_00, No.
459.00,460.00,SPEAKER_00," No, no, no."
460.00,462.00,SPEAKER_00, The Rotterdam is Holland.
462.00,463.00,SPEAKER_00, Okay.
463.00,464.00,SPEAKER_01, I'll wait.
464.00,465.00,SPEAKER_01, Okay.
465.00,466.00,SPEAKER_01, I'll wait.
466.00,473.00,SPEAKER_01," Looking at the ferry here, we might go up the coast from London and then catch a ferry from Hanwich to Rotterdam."
473.00,474.00,SPEAKER_00, Yeah.
474.00,477.00,SPEAKER_00, What you want to do is hard to hook on Holland.
477.00,478.00,SPEAKER_00, That's how the ferries are.
478.00,481.00,SPEAKER_00, I've taken that ferry from London.
481.00,485.00,SPEAKER_00, And you can buy one ticket.
485.00,493.00,SPEAKER_00, And it's actually it covers the train expense from London all the way to hook on Holland.
493.00,495.00,SPEAKER_01, Is that very expensive?
