Start Time,End Time,Speaker,Transcript
0.00,2.00,SPEAKER_01, I guess that's it.
2.00,5.00,SPEAKER_00," Yeah, well, I won't talk about the president."
5.00,7.00,SPEAKER_00," No, I talked to Doug."
7.00,12.00,SPEAKER_00," Well, I guess, well, the thing is, Doug was kind of annoying me a little bit."
12.00,20.00,SPEAKER_00," Well, the first of all, I think he sort of knew he didn't want him to be here, but still he wants someplace to bring people."
20.00,22.00,SPEAKER_00," It's like, how long are you going to be here?"
22.00,26.00,SPEAKER_00, So I really don't think that it's very appropriate or so forth.
26.00,27.00,SPEAKER_00, It's not your invocation.
27.00,29.00,SPEAKER_00," I mean, what's the point?"
29.00,30.00,SPEAKER_00, Yeah.
30.00,32.00,SPEAKER_00," And it's sort of, I'm kind of annoyed."
32.00,33.00,SPEAKER_02," It's kind of like, what's that?"
33.00,36.00,SPEAKER_02," You know why he wants to bring people there, right?"
36.00,37.00,SPEAKER_00, Why?
37.00,40.00,SPEAKER_02," Well, you know, his boyfriend's in the past."
40.00,45.00,SPEAKER_00," Yes, but I'm sorry, I don't want another Lee worthy, okay?"
45.00,46.00,SPEAKER_01," Yeah, what?"
46.00,49.00,SPEAKER_00," And I don't, I'm putting this, I don't think it's beyond that, okay?"
49.00,50.00,SPEAKER_01, Huh.
50.00,51.00,SPEAKER_00, I don't think it's beyond that.
51.00,54.00,SPEAKER_00," Well, I think Lee is actually a little bit cleaner than."
54.00,58.00,SPEAKER_00, It's what I'm sort of kind of figuring out now for a while.
58.00,61.00,SPEAKER_00," And I just don't like it, you know what I mean?"
61.00,62.00,SPEAKER_00, Uh huh.
62.00,63.00,SPEAKER_00," This is not a motel, okay?"
63.00,64.00,SPEAKER_01," Oh, I don't know."
64.00,66.00,SPEAKER_00," Okay, and it kind of annoys me."
66.00,67.00,SPEAKER_00," It's like, oh, you're going to be showing up."
67.00,68.00,SPEAKER_00, I don't care.
68.00,70.00,SPEAKER_00, I'll show it whenever I please.
70.00,73.00,SPEAKER_00," Anyway, and then, anyway, we were supposed to do something with air."
73.00,76.00,SPEAKER_00," I mentioned, well, the one we get together with Eric or something Friday."
76.00,77.00,SPEAKER_01, Uh huh.
77.00,79.00,SPEAKER_00," You know, let's, you know, got to a movie and so forth."
79.00,81.00,SPEAKER_00," I wanted to see the species movie, which was pretty good."
81.00,82.00,SPEAKER_01," I like it, yeah."
82.00,84.00,SPEAKER_00," Yeah, but the thing is, is that he never calls."
84.00,85.00,SPEAKER_00, Never does anything.
85.00,86.00,SPEAKER_00, Okay.
86.00,88.00,SPEAKER_00, And so all I get now is I get some message.
88.00,91.00,SPEAKER_00," Well, I just, I want to get a hold of the key."
91.00,92.00,SPEAKER_00, When can I get it?
92.00,94.00,SPEAKER_00, It wants me to straighten up or something.
94.00,98.00,SPEAKER_00," It's like, I'm not going to straighten up so this can be a yacute little nest."
98.00,99.00,SPEAKER_00, I'm sorry.
99.00,101.00,SPEAKER_00," And it just, it just sort of annoys me."
101.00,102.00,SPEAKER_00, Yeah.
102.00,105.00,SPEAKER_00," You know, if you want to do, do any of that other stuff, just go somewhere else."
105.00,106.00,SPEAKER_00, Yeah.
106.00,107.00,SPEAKER_02, I don't know.
107.00,108.00,SPEAKER_02, Sweetest.
108.00,109.00,SPEAKER_00," No, I just think it's bullshit."
109.00,110.00,SPEAKER_00," I mean, that's, I'm sorry."
110.00,113.00,SPEAKER_02," But it's, I just think you're getting a little work done."
113.00,114.00,SPEAKER_00," No, I'm sorry."
114.00,115.00,SPEAKER_00, I don't got time for this crap.
115.00,116.00,SPEAKER_00, Okay.
116.00,117.00,SPEAKER_00, That's about it.
117.00,118.00,SPEAKER_00, Okay.
118.00,122.00,SPEAKER_00," I, I, I have to feed some animals now and worry about that now and then this other."
122.00,123.00,SPEAKER_02, Rubbish.
123.00,124.00,SPEAKER_02, What's that?
124.00,125.00,SPEAKER_02, Are you staying over there?
125.00,127.00,SPEAKER_00, I'm thinking about it.
127.00,128.00,SPEAKER_00, Yeah.
128.00,129.00,SPEAKER_02, Yeah.
129.00,130.00,SPEAKER_02," Well, then why not?"
130.00,133.00,SPEAKER_00, I just wish you would mention to me before you offer.
133.00,134.00,SPEAKER_02, I did.
134.00,137.00,SPEAKER_00," Well, I was kind of saying I was kind of hesitant."
137.00,138.00,SPEAKER_00, Yeah.
138.00,143.00,SPEAKER_00," I don't know if you asked me, you mentioned it and then I came to discussion after you'd mentioned it to Dabbo."
143.00,147.00,SPEAKER_00," But beforehand, I'd kind of been kind of like negative on it."
147.00,148.00,SPEAKER_02, I don't know.
148.00,152.00,SPEAKER_02," I just, I guess I never really thought that it would be that big a deal, you know."
152.00,153.00,SPEAKER_02, Yeah.
153.00,159.00,SPEAKER_02," Well, I mean, I, I, I just think that it's largely because you're in a really high stress situation."
159.00,162.00,SPEAKER_00, I'm in a situation where I need full control of my environment.
162.00,163.00,SPEAKER_02, I know.
163.00,164.00,SPEAKER_00, I know.
164.00,165.00,SPEAKER_00, I know.
165.00,166.00,SPEAKER_00," So, I was just."
166.00,167.00,SPEAKER_00," I mean, it doesn't call it."
167.00,170.00,SPEAKER_00," I just, I mean, Friday and all I do is get this message on a key."
170.00,172.00,SPEAKER_00," I mean, talk about a little bit rude."
172.00,173.00,SPEAKER_00, I'm sorry.
173.00,175.00,SPEAKER_00," Well, it's really rude if you ask me."
175.00,178.00,SPEAKER_00," It's just like, I just want to use you for something here."
178.00,180.00,SPEAKER_01, I don't think it's like that.
180.00,188.00,SPEAKER_00," Well, I think the behavior indicates that at least at least, you know, Mr. Mr., Mr. Very sensitive and aware of other people's behaviors."
188.00,190.00,SPEAKER_00, Obviously not super aware of his own a little bit.
190.00,195.00,SPEAKER_02," Well, no, but you know that he acts abrupt like that anyway, right?"
195.00,198.00,SPEAKER_00," Well, I, I, I will, I'll have to rough this."
198.00,200.00,SPEAKER_00, It's sort of funny.
200.00,204.00,SPEAKER_00," But anyway, the movie was good yesterday though."
204.00,206.00,SPEAKER_00," I, I, I, I might call him back Monday."
206.00,208.00,SPEAKER_02," What am I supposed to do, you know?"
208.00,209.00,SPEAKER_00, You're not supposed to do anything.
209.00,210.00,SPEAKER_00, I'll take care of it.
210.00,215.00,SPEAKER_00," I am going to mention to him that I do think it was sort of rude that he didn't do that and all I get is this message, blah, you know."
215.00,222.00,SPEAKER_02," Well, you could, yeah, I mean, I think it's valid for you to yell at him for standing and you guys up and stuff."
222.00,227.00,SPEAKER_00," Well, it wasn't an official plan, but it's not as if he gave me a number to contact him at."
227.00,228.00,SPEAKER_02, Yeah.
228.00,232.00,SPEAKER_00," So I just, I was a little bit, a little bit put off by it."
232.00,233.00,SPEAKER_02, Yeah.
233.00,235.00,SPEAKER_00," You know, and, and I was saying."
235.00,240.00,SPEAKER_02," Well, he could probably say that he felt put off by you too, so."
240.00,241.00,SPEAKER_00, I don't think so.
241.00,243.00,SPEAKER_00, I was the one who suggested going out and doing something.
243.00,250.00,SPEAKER_00, So I think he can be said put off by me is that my life hangs in the balance and I would like to be left alone.
250.00,252.00,SPEAKER_00, I don't think that that's unreasonable.
252.00,253.00,SPEAKER_00, Yeah.
253.00,254.00,SPEAKER_00," You know, I, you know, it's."
254.00,265.00,SPEAKER_02," Well, I know, I agree, but, you know, also if, you know, you're not going to be there during the week or two."
265.00,276.00,SPEAKER_00," The way I kind of feel is like if you want a soft place to lie your head down and fall asleep and wake up, cook food or whatever, and put around once in a while, that's fine."
276.00,282.00,SPEAKER_00," But if you want a place where, you know, it's, it's time for Saturday night few or party."
282.00,283.00,SPEAKER_00, I'm sorry.
283.00,284.00,SPEAKER_02," Oh, come on."
284.00,285.00,SPEAKER_02, He's not quite like that.
285.00,288.00,SPEAKER_00," Yes, but still that's kind of my."
288.00,292.00,SPEAKER_02," No, he's got people that he hasn't seen for quite a while."
292.00,295.00,SPEAKER_00," Don't they, don't they live somewhere?"
295.00,297.00,SPEAKER_00, You know what I'm saying?
297.00,299.00,SPEAKER_02," Well, not all of them."
299.00,302.00,SPEAKER_02," I mean, I get the impression not all of them."
302.00,305.00,SPEAKER_02, Can you go back to that place?
305.00,308.00,SPEAKER_02," I mean, have you ever actually talked to him about it?"
308.00,309.00,SPEAKER_00," No, but anyway."
309.00,314.00,SPEAKER_02," Well, because some of them, you know, I understand."
314.00,316.00,SPEAKER_00, I think I understand what you're saying now.
316.00,318.00,SPEAKER_00, I think I figured it out that.
318.00,324.00,SPEAKER_02," So he would like to have a place where they can come, you know, visit him."
324.00,325.00,SPEAKER_02, Yeah.
325.00,330.00,SPEAKER_02," And so, and so it's fine."
330.00,331.00,SPEAKER_00, Never mind.
331.00,333.00,SPEAKER_00," I thought I had a hilarious word for it, but anyway."
333.00,336.00,SPEAKER_00, I had a one and a second.
336.00,337.00,SPEAKER_00, It's not.
337.00,340.00,SPEAKER_00, It's a word plan on what you just said.
340.00,342.00,SPEAKER_00, It's kind of a switch to runny.
342.00,343.00,SPEAKER_00, But it comes in.
343.00,344.00,SPEAKER_00, It comes in.
344.00,346.00,SPEAKER_00," There's some truth to it, you know."
346.00,347.00,SPEAKER_02, What is it?
347.00,350.00,SPEAKER_00," Well, they can visit him and come."
350.00,351.00,SPEAKER_00, They will.
351.00,352.00,SPEAKER_02, Uh-huh.
352.00,353.00,SPEAKER_00, Uh-huh.
353.00,355.00,SPEAKER_00, Is it a coming and visiting?
355.00,356.00,SPEAKER_02, Yeah.
356.00,358.00,SPEAKER_02," Well, okay."
358.00,362.00,SPEAKER_02," But I mean, anyway, anyway."
362.00,377.00,SPEAKER_02," So my thought on the whole thing is that, you know, if you visit him, you wouldn't want to have to be, you know, spent panting and spending every second of the day with him only, you know what I'm saying?"
377.00,386.00,SPEAKER_02, And that probably part of the reason that it would be nice to actually stay with him is that you could also go and visit the site or whatever.
386.00,387.00,SPEAKER_02, Where?
387.00,388.00,SPEAKER_02, Can you talk about?
388.00,389.00,SPEAKER_00, In Japan.
389.00,390.00,SPEAKER_02, I'm not going to Japan.
391.00,392.00,SPEAKER_02, I'm trying to.
392.00,394.00,SPEAKER_00," Maybe in ten years, but no time soon."
394.00,396.00,SPEAKER_02," No, no, but no, you know what I'm saying."
396.00,405.00,SPEAKER_02, When you are visiting a town and you stay at someone's house and you can't ever do anything on your own and stuff like that.
405.00,407.00,SPEAKER_00," Well, I don't want any stuff on my own."
407.00,412.00,SPEAKER_00," I just, you know, I mean, there's a difference between guests and there's a difference between ownership, I think."
412.00,418.00,SPEAKER_00," I think that there, I mean, if I live somewhere, you know, I can rearrange the furniture."
418.00,421.00,SPEAKER_00," But if I'm staying somewhere, it doesn't mean I'm in jail."
421.00,427.00,SPEAKER_00," I mean, just because I'm in a motel doesn't mean I'm going to repaint the walls, but it doesn't mean that I'm obligated to stay there either."
427.00,428.00,SPEAKER_01," Oh, I open it."
428.00,434.00,SPEAKER_00," I'm just saying there are different degrees of, you know, I don't think he's obligated to sit there and hobnob around with me the entire time either."
434.00,435.00,SPEAKER_00, I wouldn't want him to.
435.00,436.00,SPEAKER_00, Yeah.
436.00,437.00,SPEAKER_00," I told him I said, I have no time to do anything."
